transaction_id,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,purchase_date,browsing_time_mins
T000001,C0001,P011,Desk Lamp,Home,1,39.99,41.2,2024-09-06,25
T000002,C0001,P002,Smart Watch,Electronics,2,199.99,346.75,2024-07-25,25
T000003,C0001,P001,Wireless Headphones,Electronics,2,79.99,144.71,2024-02-13,22
T000004,C0001,P012,Throw Pillow Set,Home,2,54.99,110.8,2024-06-25,26
T000005,C0001,P005,Coffee Maker,Kitchen,3,49.99,155.0,2024-10-15,43
T000006,C0001,P004,Yoga Mat,Sports,3,29.99,88.78,2024-05-29,4
T000007,C0001,P004,Yoga Mat,Sports,1,29.99,29.54,2024-07-21,19
T000008,C0001,P003,Running Shoes,Sports,2,89.99,196.63,2024-09-05,10
T000009,C0002,P012,Throw Pillow Set,Home,2,54.99,107.51,2024-10-23,43
T000010,C0002,P002,Smart Watch,Electronics,2,199.99,343.74,2024-03-27,19
T000011,C0002,P011,Desk Lamp,Home,2,39.99,77.46,2024-05-08,37
T000012,C0002,P012,Throw Pillow Set,Home,3,54.99,185.85,2024-03-17,9
T000013,C0002,P015,Scented Candle,Home,1,19.99,22.76,2024-05-11,22
T000014,C0002,P009,Face Moisturizer,Beauty,1,34.99,32.59,2024-05-18,25
T000015,C0002,P002,Smart Watch,Electronics,1,199.99,178.45,2024-05-09,16
T000016,C0002,P010,Vitamin C Serum,Beauty,1,44.99,51.56,2024-10-08,25
T000017,C0002,P007,Novel - Bestseller,Books,3,14.99,49.23,2024-08-05,18
T000018,C0002,P001,Wireless Headphones,Electronics,3,79.99,259.5,2024-07-02,6
T000019,C0002,P001,Wireless Headphones,Electronics,2,79.99,141.54,2024-04-25,8
T000020,C0003,P002,Smart Watch,Electronics,3,199.99,638.35,2024-01-19,2
T000021,C0003,P004,Yoga Mat,Sports,2,29.99,55.23,2024-02-20,15
T000022,C0004,P004,Yoga Mat,Sports,1,29.99,27.73,2024-04-25,16
T000023,C0004,P009,Face Moisturizer,Beauty,1,34.99,32.14,2024-06-15,33
T000024,C0004,P010,Vitamin C Serum,Beauty,3,44.99,121.25,2024-05-30,3
T000025,C0004,P001,Wireless Headphones,Electronics,1,79.99,75.09,2024-06-16,7
T000026,C0005,P009,Face Moisturizer,Beauty,2,34.99,59.49,2024-01-26,14
T000027,C0005,P004,Yoga Mat,Sports,3,29.99,76.66,2024-03-16,9
T000028,C0005,P012,Throw Pillow Set,Home,2,54.99,100.81,2024-06-20,43
T000029,C0005,P011,Desk Lamp,Home,3,39.99,108.03,2024-05-16,33
T000030,C0005,P012,Throw Pillow Set,Home,1,54.99,53.4,2024-07-31,13
T000031,C0005,P009,Face Moisturizer,Beauty,2,34.99,74.44,2024-01-14,38
T000032,C0005,P007,Novel - Bestseller,Books,1,14.99,13.94,2024-07-14,3
T000033,C0006,P004,Yoga Mat,Sports,3,29.99,94.62,2024-01-23,12
T000034,C0006,P008,Cookbook,Books,3,24.99,69.17,2024-02-06,39
T000035,C0007,P010,Vitamin C Serum,Beauty,3,44.99,123.64,2024-01-24,27
T000036,C0007,P005,Coffee Maker,Kitchen,3,49.99,135.32,2024-05-15,34
T000037,C0007,P013,Gaming Mouse,Electronics,3,59.99,203.55,2024-06-03,2
T000038,C0007,P014,Protein Powder,Sports,1,44.99,39.77,2024-01-16,24
T000039,C0007,P001,Wireless Headphones,Electronics,3,79.99,251.49,2024-07-02,27
T000040,C0007,P013,Gaming Mouse,Electronics,1,59.99,60.29,2024-06-19,3
T000041,C0007,P013,Gaming Mouse,Electronics,1,59.99,67.2,2024-01-29,10
T000042,C0008,P003,Running Shoes,Sports,2,89.99,153.48,2024-07-19,26
T000043,C0008,P012,Throw Pillow Set,Home,1,54.99,46.83,2024-07-24,19
T000044,C0008,P007,Novel - Bestseller,Books,2,14.99,29.52,2024-04-20,42
T000045,C0008,P006,Air Fryer,Kitchen,1,69.99,69.86,2024-05-23,21
T000046,C0008,P005,Coffee Maker,Kitchen,3,49.99,157.06,2024-06-18,34
T000047,C0008,P003,Running Shoes,Sports,3,89.99,259.26,2024-05-08,23
